AGE,STATUS,EDUCATION,YEARS,PROFESSION,CAPITALGAINS,CAPITALLOSS,HOURSPERWEEK,NATIVE,SALARYVALUE,ZODIAK
50,Self-emp-not-inc,Bachelors,13,Exec-managerial,0,0,40,United-States,40.68,Leo
38,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,31.30,Libra
53,Private,11th,7,Handlers-cleaners,0,0,40,United-States,48.08,Aquarius
28,Private,Bachelors,13,Prof-specialty,0,0,40,Cuba,19.42,Cancer
37,Private,Masters,14,Exec-managerial,0,0,40,United-States,10.50,Gemini
49,Private,9th,5,Other-service,0,0,40,Jamaica,31.88,Sagittarius
52,Self-emp-not-inc,HS-grad,9,Exec-managerial,0,0,40,United-States,175.84,Aquarius
31,Private,Masters,14,Prof-specialty,14084,0,40,United-States,493.83,Leo
42,Private,Bachelors,13,Exec-managerial,273207,0,40,United-States,496.19,Scorpio
37,Private,Some-college,10,Exec-managerial,0,0,40,United-States,130.65,Capricorn
30,State-gov,Bachelors,13,Prof-specialty,0,0,40,India,126.73,Gemini
23,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,17.54,Capricorn
32,Private,Assoc-acdm,12,Sales,0,0,40,United-States,33.08,Cancer
40,Private,Assoc-voc,11,Craft-repair,0,0,40,?,174.12,Sagittarius
34,Private,7th-8th,4,Transport-moving,0,0,40,Mexico,37.57,Cancer
25,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,40,United-States,32.61,Libra
32,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,27.53,Leo
38,Private,11th,7,Sales,0,0,40,United-States,42.60,Sagittarius
43,Self-emp-not-inc,Masters,14,Exec-managerial,0,0,40,United-States,192.21,Leo
40,Private,Doctorate,16,Prof-specialty,0,0,40,United-States,144.99,Capricorn
54,Private,HS-grad,9,Other-service,0,0,40,United-States,44.56,Leo
35,Federal-gov,9th,5,Farming-fishing,0,0,40,United-States,41.14,Cancer
43,Private,11th,7,Transport-moving,0,2042,40,United-States,11.99,Leo
59,Private,HS-grad,9,Tech-support,0,0,40,United-States,38.68,Leo
56,Local-gov,Bachelors,13,Tech-support,0,0,40,United-States,13.03,Pisces 
19,Private,HS-grad,9,Craft-repair,0,0,40,United-States,25.70,Virgo
54,?,Some-college,10,?,0,0,40,South,182.04,Capricorn
39,Private,HS-grad,9,Exec-managerial,0,0,40,United-States,13.26,Capricorn
49,Private,HS-grad,9,Craft-repair,0,0,40,United-States,38.57,Cancer
23,Local-gov,Assoc-acdm,12,Protective-serv,0,0,40,United-States,30.05,Sagittarius
20,Private,Some-college,10,Sales,0,0,40,United-States,37.77,Libra
45,Private,Bachelors,13,Exec-managerial,0,1408,40,United-States,36.27,Pisces 
30,Federal-gov,Some-college,10,Adm-clerical,0,0,40,United-States,27.08,Gemini
22,State-gov,Some-college,10,Other-service,0,0,40,United-States,36.68,Cancer
48,Private,11th,7,Machine-op-inspct,0,0,40,Puerto-Rico,28.37,Cancer
21,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,18.76,Capricorn
19,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,32.34,Sagittarius
31,Private,Some-college,10,Sales,0,0,40,?,196.66,Pisces 
48,Self-emp-not-inc,Assoc-acdm,12,Prof-specialty,0,0,40,United-States,49.94,Sagittarius
31,Private,9th,5,Machine-op-inspct,0,0,40,United-States,41.46,Pisces 
53,Self-emp-not-inc,Bachelors,13,Prof-specialty,272947,0,40,United-States,48.68,Scorpio
24,Private,Bachelors,13,Tech-support,0,0,40,United-States,41.06,Taurus
49,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,22.74,Pisces 
25,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,48.41,Sagittarius
57,Federal-gov,Bachelors,13,Prof-specialty,0,0,40,United-States,143.61,Capricorn
53,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,15.40,Capricorn
44,Private,Masters,14,Exec-managerial,0,0,40,United-States,23.71,Capricorn
41,State-gov,Assoc-voc,11,Craft-repair,0,0,40,United-States,34.49,Leo
29,Private,Assoc-voc,11,Prof-specialty,0,0,40,United-States,17.21,Aquarius
25,Private,Some-college,10,Exec-managerial,221613,0,40,United-States,31.39,Scorpio
18,Private,HS-grad,9,Other-service,0,0,40,?,10.00,Cancer
47,Private,Prof-school,15,Prof-specialty,0,1902,40,Honduras,252.91,Cancer
50,Federal-gov,Bachelors,13,Exec-managerial,268702,0,40,United-States,171.42,Scorpio
47,Self-emp-inc,HS-grad,9,Exec-managerial,0,0,40,United-States,23.84,Sagittarius
