,xaxis,yaxis,plot
0,quality,count,bar
1,country,count,bar
2,decade,count,bar
3,type,count,bar
4,quality,mean,bar
5,country,mean,bar
6,decade,mean,bar
7,type,mean,bar
8,ph,prob,density
9,alcohol,prob,density
10,price,prob,density
11,rate,prob,density
12,year,prob,density
0,ph,ph,scatter
1,ph,alcohol,scatter
2,ph,price,scatter
3,ph,rate,scatter
4,ph,year,scatter
5,alcohol,ph,scatter
6,alcohol,alcohol,scatter
7,alcohol,price,scatter
8,alcohol,rate,scatter
9,alcohol,year,scatter
10,price,ph,scatter
11,price,alcohol,scatter
12,price,price,scatter
13,price,rate,scatter
14,price,year,scatter
15,rate,ph,scatter
16,rate,alcohol,scatter
17,rate,price,scatter
18,rate,rate,scatter
19,rate,year,scatter
20,year,ph,scatter
21,year,alcohol,scatter
22,year,price,scatter
23,year,rate,scatter
24,year,year,scatter
